Datum,Kategorie,Beschreibung,Betrag
2024-01-01,Miete,Miete für Januar,-950.00
2024-01-02,Lebensmittel,Wocheneinkauf bei Rewe,-85.50
2024-01-03,Transport,Monatsticket BVG,-69.00
2024-01-04,Haushalt,Waschmittel und Reinigungsmittel,-15.20
2024-01-05,Freizeit,Kinobesuch mit Freunden,-18.50
2024-01-06,Gesundheit,Medikamente aus der Apotheke,-12.80
2024-01-07,Kleidung,Neuer Pullover von H&M,-29.99
2024-01-08,Lebensmittel,Einkauf auf dem Wochenmarkt,-25.30
2024-01-09,Freizeit,Abendessen im Restaurant,-45.00
2024-01-10,Versicherung,Haftpflichtversicherung (vierteljährlich),-25.00
2024-01-11,Bildung,Online-Kurs für Fotografie,-49.00
2024-01-12,Haushalt,Glühbirnen und Batterien,-9.75
2024-01-13,Sonstiges,Spende an eine gemeinnützige Organisation,-20.00
2024-01-14,Lebensmittel,Großer Wocheneinkauf bei Lidl,-78.90
2024-01-15,Freizeit,Konzertkarten für nächste Woche,-65.00
2024-01-15,Abonnements,Netflix-Abonnement,-12.99
2024-01-16,Transport,Tanken des Autos,-55.40
2024-01-17,Gesundheit,Zahnreinigung,-80.00
2024-01-18,Kleidung,Neue Socken und Unterwäsche,-22.50
2024-01-19,Lebensmittel,Einkauf im Bio-Laden,-35.10
2024-01-20,Freizeit,Ausflug in den Spreewald,-50.00
2024-01-21,Haushalt,Neue Pfanne von WMF,-39.95
2024-01-22,Freizeit,Kaffee und Kuchen im Café,-8.50
2024-01-23,Bildung,Fachbuch für die Weiterbildung,-34.99
2024-01-24,Lebensmittel,Einkauf bei Edeka,-42.60
2024-01-25,Sonstiges,Geschenk für einen Freund,-30.00
2024-01-26,Freizeit,Bowlingabend,-25.00
2024-01-27,Transport,Fahrkarte für eine Zugfahrt,-29.00
2024-01-28,Lebensmittel,Pizza-Lieferung,-22.00
2024-01-29,Haushalt,Pflanzen für den Balkon,-18.00
2024-01-30,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-01-31,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-02-01,Miete,Miete für Februar,-950.00
2024-02-02,Lebensmittel,Wocheneinkauf bei Aldi,-75.20
2024-02-03,Transport,Monatsticket BVG,-69.00
2024-02-04,Haushalt,Geschirrspültabs und Klarspüler,-12.99
2024-02-05,Freizeit,Theaterbesuch,-55.00
2024-02-06,Gesundheit,Vitaminpräparate,-19.95
2024-02-07,Kleidung,Neues Hemd für die Arbeit,-39.99
2024-02-08,Lebensmittel,Einkauf beim türkischen Supermarkt,-32.50
2024-02-09,Freizeit,Barbesuch mit Kollegen,-38.00
2024-02-10,Abonnements,Spotify Premium,-9.99
2024-02-11,Bildung,Teilnahme an einem Workshop,-75.00
2024-02-12,Haushalt,Neuer Wasserkocher,-25.99
2024-02-13,Sonstiges,Rundfunkbeitrag,-18.36
2024-02-14,Lebensmittel,Wocheneinkauf bei Rewe,-82.10
2024-02-15,Abonnements,Netflix-Abonnement,-12.99
2024-02-16,Transport,Tanken,-60.10
2024-02-17,Gesundheit,Besuch beim Physiotherapeuten,-30.00
2024-02-18,Kleidung,Neue Schuhe,-89.95
2024-02-19,Lebensmittel,Asiatischer Supermarkt,-28.70
2024-02-20,Freizeit,Besuch im Museum,-14.00
2024-02-21,Haushalt,Aufbewahrungsboxen von IKEA,-24.99
2024-02-22,Freizeit,Brunch am Wochenende,-28.50
2024-02-23,Bildung,Abonnement einer Fachzeitschrift,-60.00
2024-02-24,Lebensmittel,Einkauf bei Edeka,-55.40
2024-02-25,Sonstiges,Reparatur des Fahrrads,-45.00
2024-02-26,Freizeit,Schwimmbadbesuch,-7.50
2024-02-27,Transport,Taxi nach Hause,-15.80
2024-02-28,Lebensmittel,Bestellung bei Lieferando,-25.50
2024-02-29,Gesundheit,Fitnessstudio-Mitgliedschaft,-25.00
2024-02-29,Nebenkosten,Strom- und Gasabschlag,-110.00
2024-03-01,Miete,Miete für März,-950.00
2024-03-02,Lebensmittel,Wocheneinkauf bei Lidl,-79.80
2024-03-03,Transport,Monatsticket BVG,-69.00
2024-03-04,Haushalt,Kauf von Küchenutensilien,-19.90
2024-03-05,Freizeit,Kletterhalle,-22.00
2024-03-06,Gesundheit,Erkältungsmittel,-9.50
2024-03-07,Kleidung,Jacke im Sale,-70.00
2024-03-08,Lebensmittel,Wochenmarkt,-28.40
2024-03-09,Freizeit,Essen gehen mit der Familie,-85.00
2024-03-10,Abonnements,Amazon Prime,-8.99
2024-03-11,Bildung,Sprachkurs-Gebühr,-150.00
2024-03-12,Haushalt,Neuer Duschvorhang,-15.00
2024-03-13,Sonstiges,Friseurbesuch,-40.00
2024-03-14,Lebensmittel,Großeinkauf bei Kaufland,-95.30
2024-03-15,Abonnements,Netflix-Abonnement,-12.99
2024-03-16,Transport,Inspektion des Autos,-250.00
2024-03-17,Gesundheit,Neue Brille,-220.00
